justgiving_id,charity_registration_id,charity_name,charity_url
2357,1089464,Cancer Research UK,https://www.justgiving.com/cancerresearchuk
18570,213890,Save the Children,https://www.justgiving.com/savethechildren
179,207544,Sightsavers,https://www.justgiving.com/sightsavers
2116,261017,Macmillan Cancer Support,https://www.justgiving.com/macmillan
13441,202918,Oxfam,https://www.justgiving.com/oxfam
11033,220949,The British Red Cross Society,https://www.justgiving.com/redcross
2013,216401,NSPCC,https://www.justgiving.com/nspcc
182066,219099,RSPCA (England and Wales),https://www.justgiving.com/rspcahq
11076,1105851,Christian Aid,https://www.justgiving.com/christianaid_
15416,207076,RSPB,https://www.justgiving.com/rspb
18963,214779,The Salvation Army,https://www.justgiving.com/salvationarmy
183092,225971,British Heart Foundation,https://www.justgiving.com/britishheartfoundation
181813,1072612,Unicef UK,https://www.justgiving.com/unicef
50,207994,Marie Curie,https://www.justgiving.com/mariecurie
114908,1062638,Disasters Emergency Committee,https://www.justgiving.com/dec
183560,205846,National Trust,https://www.justgiving.com/nationaltrust
156,226227,RNIB - Royal National Institute of Blind People,https://www.justgiving.com/rnib
20851,219279,The Royal British Legion,https://www.justgiving.com/britishlegion
40885,265464,Tearfund,https://www.justgiving.com/tearfund
55,208217,PDSA,https://www.justgiving.com/pdsa
2751568,1127929,Stonyhurst College,https://www.justgiving.com/stonyhurst
52893,285908,World Vision UK,https://www.justgiving.com/worldvisionuk
181822,326568,Comic Relief,https://www.justgiving.com/comicrelief1
24267,227523,Dogs Trust,https://www.justgiving.com/dogstrust
11088,274467,ActionAid,https://www.justgiving.com/actionaid
2261,209617,Guide Dogs,https://www.justgiving.com/guidedogs
70625,313757,Voluntary Service Overseas,https://www.justgiving.com/vso
11378,328158,Islamic Relief,https://www.justgiving.com/islamicrelief
11421,276035,Plan International UK,https://www.justgiving.com/planuk
11496,1128267,Age UK,https://www.justgiving.com/ageuk
2344,1081247,WWF-UK,https://www.justgiving.com/wwf
88,216250,Barnardo's,https://www.justgiving.com/barnardos
2353734,251549,Porth Elim Church,https://www.justgiving.com/elim-church
181821,802052,BBC Children in Need,https://www.justgiving.com/childreninneed
183396,1120920,Help for Heroes,https://www.justgiving.com/helpforheroes
54697,288701,WaterAid,https://www.justgiving.com/wateraid
2956214,1086915,Youth Sport Trust UK,https://www.justgiving.com/youthsporttrustuk
2201,296645,Alzheimer's Society,https://www.justgiving.com/alzheimerssoc
2698094,212481,RSC,https://www.justgiving.com/royalshakespearecompany
13792,203644,Cats Protection,https://www.justgiving.com/cats
61216,298909,Southbank Centre,https://www.justgiving.com/southbankcentre
73,263710,Shelter,https://www.justgiving.com/shelter
30309,241083,The Diocese of London,https://www.justgiving.com/ldf
54076,287780,BFI,https://www.justgiving.com/britishfilminstitute
40550,264818,The Donkey Sanctuary,https://www.justgiving.com/donkeysanctuary
182015,802559,Jewish Care,https://www.justgiving.com/jewishcare
128190,1077216,Compassion UK,https://www.justgiving.com/compassionuk
184169,233699,St Joseph's Pastoral Centre,https://www.justgiving.com/sjpc
253,1026588,Medecins Sans Frontieres / Doctors Without Borders (MSF),https://www.justgiving.com/msfuk
183439,1132208,The Methodist Church World Mission Fund,https://www.justgiving.com/mcfworldmission
